pairs_id,indate_date,first_instrument,second_instrument,prime_instrument,boundary_unit_num,region_drift,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,up_boundary_5,up_boundary_4,up_boundary_3,up_boundary_2,up_boundary_1,down_boundary_1,down_boundary_2,down_boundary_3,down_boundary_4,down_boundary_5,today_fee,wait_window,favor_times,unfavor_times,abs_threshold,boundary_tick_lock,wait2_windows,after_tick,night_type,if_add,limitcoef,abs_threshold_after,kind,before_tick,before_cancel_flag,before_cancel_num,max_position,min_position,region_tick_lock,region_unit_num,If_SP,SP_InstrumentID,Min_Step
BU2405-2406,20230706_2,BU2405.XSGE,BU2406.XSGE,BU2406.XSGE,0,0,-5.0,-10.0,-20.0,-30.0,-30.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,BU,0,1,1,5,0,30,1,0,Null,1
C2405-2407,20220908_0,C2405.XDCE,C2407.XDCE,C2407.XDCE,0,0,-25.0,-30.0,-30.0,-30.0,-35.0,-35.0,-40.0,-45.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,8,32,C,0,1,1,40,0,40,6,0,Null,1
C2407-2409,20220908_0,C2407.XDCE,C2409.XDCE,C2407.XDCE,0,0,-15.0,-20.0,-25.0,-30.0,-30.0,-35.0,-40.0,-45.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,8,32,C,0,1,1,9,0,20,2,0,Null,1
CF2311-2401,20220926_0,CF2311.XZCE,CF2401.XZCE,CF2311.XZCE,0,0,10.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,1,0,8,8,CF,0,1,1,9,0,11,1,0,SPD CF311&401,1
CF2407-2409,20220926_0,CF2407.XZCE,CF2409.XZCE,CF2409.XZCE,0,0,-90.0,-130.0,-170.0,-210.0,-240.0,-265.0,-290.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,1,0,8,8,CF,0,1,1,9,4,11,3,0,SPD CF407&409,1
CS2405-2407,20220908_0,CS2405.XDCE,CS2407.XDCE,CS2407.XDCE,0,0,-15.0,-20.0,-25.0,-30.0,-30.0,-35.0,-35.0,-40.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,8,32,CS,0,1,1,9,0,15,2,0,Null,1
CU2404-2405,20220906_1,CU2404.XSGE,CU2405.XSGE,CU2404.XSGE,0,0,-99999,-99999,-99999,-99999,-99999,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,3,0,8,8,CU,0,1,1,18,0,15,4,0,Null,1
CU2405-2406,20220906_1,CU2405.XSGE,CU2406.XSGE,CU2405.XSGE,0,0,-50.0,-100.0,-150.0,-150.0,-200.0,-200.0,-250.0,-250.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,3,1,8,8,CU,0,1,1,18,0,15,4,0,Null,1
CU2406-2407,20220906_1,CU2406.XSGE,CU2407.XSGE,CU2406.XSGE,0,0,-50.0,-100.0,-150.0,-150.0,-200.0,-200.0,-250.0,-250.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,3,1,8,8,CU,0,1,1,18,0,15,4,0,Null,1
CU2407-2408,20220906_1,CU2407.XSGE,CU2408.XSGE,CU2407.XSGE,0,0,-50.0,-100.0,-150.0,-150.0,-200.0,-200.0,-250.0,-250.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,3,1,8,8,CU,0,1,1,18,0,15,4,0,Null,1
EG2404-2405,20230822_0,EG2404.XDCE,EG2405.XDCE,EG2404.XDCE,0,0,-24.0,-32.0,-40.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,EG,0,1,1,20,0,20,4,0,Null,1
EG2405-2406,20230822_0,EG2405.XDCE,EG2406.XDCE,EG2405.XDCE,0,0,-24.0,-32.0,-40.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,EG,0,1,1,20,0,20,4,0,Null,1
EG2406-2407,20230822_0,EG2406.XDCE,EG2407.XDCE,EG2406.XDCE,0,0,5.0,0.0,-5.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,EG,0,1,1,20,0,20,4,0,Null,1
FG2405-2406,20230901_2,FG2405.XZCE,FG2406.XZCE,FG2405.XZCE,0,0,-20.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,FG,0,1,1,4,0,40,2,0,Null,1
FG2407-2408,20230901_2,FG2407.XZCE,FG2408.XZCE,FG2408.XZCE,0,0,-5.0,-5.0,-5.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,FG,0,1,1,8,0,0,2,0,Null,1
FU2404-2405,20220907_0,FU2404.XSGE,FU2405.XSGE,FU2405.XSGE,0,0,-15.0,-20.0,-25.0,-30.0,-30.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,8,32,FU,0,1,1,19,0,10,3,0,Null,1
FU2405-2406,20220907_0,FU2405.XSGE,FU2406.XSGE,FU2405.XSGE,0,0,9.0,0.0,-15.0,-20.0,-30.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,8,32,FU,0,1,1,19,0,15,3,0,Null,1
HC2405-2407,20220907_1,HC2405.XSGE,HC2407.XSGE,HC2405.XSGE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,8,32,HC,0,1,1,9,0,4,5,0,Null,1
I2405-2404,20221017_0,I2405.XDCE,I2404.XDCE,I2405.XDCE,0,0,-40.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,1,1,8,8,I,0,1,1,19,0,0,2,0,Null,1
I2405-2406,20221017_0,I2405.XDCE,I2406.XDCE,I2406.XDCE,0,0,14.0,9.0,2.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,1,1,8,8,I,0,1,1,19,0,20,2,0,Null,1
IC2403-2406,20230801_0,IC2403.CCFX,IC2406.CCFX,IC2403.CCFX,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,1,3000000,3,1,50,99999,2000,40,1,0,5,8,IF,1,1,1,6,1,40,1,0,Null,1
IC2406-2403,20230801_0,IC2406.CCFX,IC2403.CCFX,IC2403.CCFX,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,1,3000000,3,1,50,99999,2000,40,1,0,5,8,IF,1,1,1,6,0,40,1,0,Null,1
IF2403-2406,20230801_0,IF2403.CCFX,IF2406.CCFX,IF2403.CCFX,0,0,10.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,0,3000000,3,1,50,99999,2000,40,1,0,5,8,IF,1,1,1,6,0,17,1,0,Null,1
IF2406-2403,20230801_0,IF2406.CCFX,IF2403.CCFX,IF2403.CCFX,0,0,-29.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,1,3000000,3,1,50,99999,2000,40,1,0,5,8,IF,1,1,1,6,0,100,1,0,Null,1
IH2403-2406,20230801_0,IH2403.CCFX,IH2406.CCFX,IH2403.CCFX,0,0,-1.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,0,3000000,3,1,50,99999,2000,40,1,0,5,8,IH,1,1,1,6,0,20,1,0,Null,1
IH2406-2403,20230801_0,IH2406.CCFX,IH2403.CCFX,IH2403.CCFX,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,1,3000000,3,1,50,99999,2000,40,1,0,5,8,IH,1,1,1,6,0,40,1,0,Null,1
IM2403-2406,20230801_0,IM2403.CCFX,IM2406.CCFX,IM2403.CCFX,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,1,3000000,3,1,50,99999,2000,40,1,0,5,8,IF,1,1,1,6,1,40,1,0,Null,1
IM2406-2403,20230801_0,IM2406.CCFX,IM2403.CCFX,IM2403.CCFX,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,1,3000000,3,1,50,99999,2000,40,1,0,5,8,IF,1,1,1,6,0,40,1,0,Null,1
JD2403-2404,20230724_1,JD2403.XDCE,JD2404.XDCE,JD2404.XDCE,0,0,-200.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,JD,0,1,1,4,0,100,2,0,Null,1
L2402-2403,20220915_0,L2402.XDCE,L2403.XDCE,L2402.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,8,32,L,0,1,1,7,0,25,3,0,Null,1
L2405-2406,20220915_0,L2405.XDCE,L2406.XDCE,L2405.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,8,32,L,0,1,1,7,0,35,2,0,Null,1
LC2402-2403,20220906_1,LC2402.GFEX,LC2403.GFEX,LC2402.GFEX,0,0,-800.0,-800.0,-800.0,-800.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,0,5,12,LC,1,1,1,3,0,15,2,0,Null,1
LC2404-2405,20220906_1,LC2404.GFEX,LC2405.GFEX,LC2404.GFEX,0,0,-200.0,-400.0,-600.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,0,5,12,LC,1,1,1,12,0,5,3,0,Null,1
LC2405-2406,20220906_1,LC2405.GFEX,LC2406.GFEX,LC2405.GFEX,0,0,-200.0,-400.0,-600.0,-800.0,-99999.0,-1500.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,1,5,12,LC,1,1,1,18,0,15,3,0,Null,1
LC2406-2407,20220906_1,LC2406.GFEX,LC2407.GFEX,LC2406.GFEX,0,0,-400.0,-500.0,-550.0,-650.0,-800.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,1,5,12,LC,1,1,1,18,0,15,3,0,Null,1
LC2407-2408,20220906_1,LC2407.GFEX,LC2408.GFEX,LC2407.GFEX,0,0,-500.0,-2050.0,-2250.0,-2500.0,-2700.0,-3000.0,-3200.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,1,5,12,LC,1,1,1,14,0,12,2,0,Null,1
LC2408-2409,20220906_1,LC2408.GFEX,LC2409.GFEX,LC2408.GFEX,0,0,0.0,-400.0,-600.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,1,5,12,LC,1,1,1,18,0,20,3,0,Null,1
LC2409-2410,20220906_1,LC2409.GFEX,LC2410.GFEX,LC2409.GFEX,0,0,300.0,0.0,-400.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,1,5,12,LC,1,1,1,6,0,20,2,0,Null,1
LC2409-2411,20220906_1,LC2409.GFEX,LC2411.GFEX,LC2409.GFEX,0,0,-400.0,-600.0,-1000.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,1,5,12,LC,1,1,1,6,0,30,2,0,Null,1
LC2410-2411,20220906_1,LC2410.GFEX,LC2411.GFEX,LC2410.GFEX,0,0,300.0,-400.0,-800.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,1,5,12,LC,1,1,1,6,0,20,2,0,Null,1
LC2411-2412,20220906_1,LC2411.GFEX,LC2412.GFEX,LC2411.GFEX,0,0,-900.0,-1300.0,-1500.0,-2000.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,1,5,12,LC,1,1,1,6,0,18,2,0,Null,1
LC2412-2501,20220906_1,LC2412.GFEX,LC2501.GFEX,LC2412.GFEX,0,0,-500.0,-1300.0,-1500.0,-2000.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,1,5,12,LC,1,1,1,6,0,18,2,0,Null,1
LU2404-2405,20231127_2,LU2404.XINE,LU2405.XINE,LU2404.XINE,0,0,-5.0,0.0,5.0,10.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,LU,0,1,1,10,0,40,2,0,Null,1
LU2405-2406,20231127_2,LU2405.XINE,LU2406.XINE,LU2405.XINE,0,0,15.0,10.0,5.0,0.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,LU,0,1,1,10,0,10,2,0,Null,1
M2403-2405,20221017_1,M2403.XDCE,M2405.XDCE,M2405.XDCE,0,0,-50.0,-100.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,20,1,0,5,32,M,0,1,1,14,0,15,3,0,Null,1
M2405-2407,20221017_1,M2405.XDCE,M2407.XDCE,M2405.XDCE,0,0,5.0,0.0,-5.0,-10.0,-15.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,20,1,0,5,32,M,0,1,1,14,0,40,3,0,Null,1
M2407-2408,20230919_2,M2407.XDCE,M2408.XDCE,M2408.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,M,0,1,1,6,0,100,3,0,Null,1
M2408-2409,20230920_1,M2408.XDCE,M2409.XDCE,M2408.XDCE,0,0,9.0,3.0,-5.0,-10.0,-15.0,-20.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,M,0,1,1,18,0,150,3,0,Null,1
MA2404-2405,20230811_0,MA2404.XZCE,MA2405.XZCE,MA2405.XZCE,0,0,-10.0,-15.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,MA,0,1,1,12,0,25,3,0,Null,1
MA2406-2407,20230811_0,MA2406.XZCE,MA2407.XZCE,MA2406.XZCE,0,0,-10.0,-15.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,MA,0,1,1,12,0,25,3,0,Null,1
MA2407-2408,20230811_0,MA2407.XZCE,MA2408.XZCE,MA2407.XZCE,0,0,-10.0,-15.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,MA,0,1,1,12,0,25,3,0,Null,1
MA2408-2409,20230811_0,MA2408.XZCE,MA2409.XZCE,MA2409.XZCE,0,0,-10.0,-15.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,MA,0,1,1,12,0,25,3,0,Null,1
MA2409-2410,20230811_0,MA2409.XZCE,MA2410.XZCE,MA2409.XZCE,0,0,-10.0,-15.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,MA,0,1,1,12,0,25,3,0,Null,1
MA2410-2411,20230811_0,MA2410.XZCE,MA2411.XZCE,MA2410.XZCE,0,0,-10.0,-15.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,MA,0,1,1,12,0,25,3,0,Null,1
NI2403-2404,20230925_0,NI2403.XSGE,NI2404.XSGE,NI2403.XSGE,0,0,-420.0,-420.0,-420.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,3,0,5,32,NI,0,1,1,28,0,0,6,0,Null,1
NI2403-2405,20230925_0,NI2403.XSGE,NI2405.XSGE,NI2403.XSGE,0,0,-750.0,-750.0,-750.0,-800.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,3,0,5,32,NI,0,1,1,28,0,0,7,0,Null,1
NI2404-2405,20230925_0,NI2404.XSGE,NI2405.XSGE,NI2405.XSGE,0,0,-250.0,-300.0,-350.0,-350.0,-400.0,-400.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,3,0,5,32,NI,0,1,1,28,0,10,5,0,Null,1
NI2405-2406,20230925_0,NI2405.XSGE,NI2406.XSGE,NI2405.XSGE,0,0,-250.0,-300.0,-350.0,-400.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,3,1,5,32,NI,0,1,1,28,0,15,6,0,Null,1
NI2406-2405,20230925_0,NI2406.XSGE,NI2405.XSGE,NI2405.XSGE,0,0,-70.0,-100.0,-120.0,-150.0,-150.0,-200.0,-200.0,-250.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,3,1,5,32,NI,0,1,1,28,0,20,3,0,Null,1
